#STEPS OVERALL-RMSD BB-RMSD SC-RMSD-ALIGN-BB SC-RMSD-ALIGN-SC ENERGY RG
0 7.373695168E-15 1.528709794E-14 1.617536612E-14 1.519427811E-14 9575.66889 22
40 0.666825554 0.205635143 1.47491313 1.3042296 1783.78749 22.4187491
80 0.739261393 0.264356338 1.61736429 1.40579422 384.124414 22.4159783
120 0.780894094 0.31485486 1.68365537 1.45409258 308.65248 22.4121081
160 0.801086959 0.351421599 1.70343232 1.46994107 274.049746 22.4125466
200 0.829722763 0.387860551 1.74246669 1.50246837 258.030373 22.411561
240 0.848876976 0.415462334 1.76442545 1.52075258 242.984797 22.4120872
280 0.867714878 0.439952999 1.78778504 1.54056826 234.141905 22.4126548
320 0.881054722 0.460379485 1.80058962 1.55124341 226.735555 22.4142012
360 0.892790089 0.478152617 1.81162205 1.56038438 221.362503 22.4160108
400 0.901458214 0.493946223 1.81637237 1.56451576 216.574094 22.4179811
440 0.911859969 0.510095331 1.82496778 1.57174922 212.868308 22.4200778
480 0.920110065 0.524501486 1.82957764 1.57572467 208.704024 22.4219367
520 0.93027567 0.539190321 1.83877409 1.58324811 205.596882 22.4239746
560 0.939340774 0.553359469 1.84539265 1.58870276 201.843859 22.4258664
600 0.950164578 0.56773507 1.85632188 1.5977449 198.676518 22.4280352
640 0.959682942 0.581217867 1.86457127 1.60497368 194.832988 22.4298599
680 0.97060387 0.595868343 1.87490081 1.61407999 191.690881 22.4320758
720 0.981048038 0.608908412 1.88587031 1.62405722 188.324934 22.4340045
760 0.993147014 0.621780901 1.90148765 1.6383698 185.830609 22.4363397
800 1.00114268 0.632820491 1.90813883 1.64481816 182.632746 22.437862
840 1.06872602 0.739333755 1.93838418 1.67772329 167.80103 22.4555474
880 1.15904228 0.863575382 1.99175929 1.73777569 157.956776 22.4738511
920 1.17607076 0.881939912 2.0097165 1.75677892 152.391222 22.4790962
960 1.20300204 0.911346386 2.03701413 1.78707363 147.912401 22.487402
1000 1.22585752 0.935142654 2.06234353 1.81354154 145.568054 22.4958593
1040 1.3228627 1.04220922 2.15625248 1.91209149 141.472211 22.5208794
1080 1.33187153 1.05192624 2.16551837 1.92043815 139.857281 22.5233849
1120 1.41833518 1.14301906 2.25571481 2.01149135 137.341907 22.5374104
1160 1.44784105 1.16646028 2.30190733 2.05950146 136.016482 22.5435373
1200 1.4561599 1.17377375 2.31337177 2.07206328 135.205494 22.5443899
1240 1.48139217 1.19392021 2.35197805 2.11595229 134.103922 22.5473103
1280 1.51105145 1.21684666 2.39875347 2.16961678 132.944569 22.5509825
1320 1.52491287 1.22608587 2.42395831 2.19650279 132.294413 22.5522481
1360 1.55369021 1.25014234 2.46610913 2.24203666 131.693438 22.555803
1400 1.55993209 1.25639512 2.47311758 2.24962742 131.419243 22.5566876
1440 1.72647253 1.41862529 2.66784802 2.46355297 129.506309 22.5777819
1480 1.72816715 1.42353097 2.66229879 2.45999063 128.890411 22.5776375
1520 1.7445449 1.44862368 2.65955311 2.4660375 128.181683 22.5772669
1560 1.74791345 1.45343805 2.65992029 2.46710255 127.804312 22.5769478
1600 1.75797295 1.46465988 2.66811859 2.47736072 127.467713 22.5768507
1640 1.80371436 1.51543723 2.70578395 2.52372285 126.459107 22.5774164
1680 1.81137574 1.52334516 2.71361421 2.53215105 126.147661 22.5779301
1720 1.82523954 1.53893701 2.72454112 2.54528948 125.886364 22.5790646
1760 1.84431424 1.56058155 2.73931705 2.56189554 125.649955 22.5810251
1800 1.85056523 1.56751691 2.74440448 2.56800278 125.465932 22.5816115
1840 1.87479133 1.59481598 2.76361327 2.58861708 125.205246 22.5846217
1880 1.88668776 1.60834056 2.77249188 2.59913605 125.035916 22.5863549
1920 1.89296308 1.61503489 2.77841447 2.6050085 124.916571 22.5874623
1960 1.89954589 1.62242124 2.78362144 2.61071941 124.822253 22.5885775
2000 2.05316171 1.78838591 2.91906494 2.75460086 123.532696 22.6145768
2040 2.05349624 1.78833997 2.92068826 2.75464673 123.00368 22.6144238
2080 2.0606001 1.7960307 2.92720277 2.75981715 122.717344 22.6155624
2120 2.07597178 1.81362049 2.93822276 2.77095513 122.484134 22.6193235
2160 2.08127074 1.81872316 2.94448637 2.77704488 122.284006 22.620341
2200 2.0945186 1.83325943 2.95562521 2.78768624 122.084904 22.6231702
2240 2.10074649 1.83959921 2.96205582 2.79416074 121.916658 22.624404
2280 2.13894822 1.879892 2.99779038 2.8303277 121.488617 22.6313628
2320 2.14210946 1.88322903 3.00084673 2.83278607 121.261524 22.6317599
2360 2.19124131 1.93521957 3.04607173 2.87860454 120.804318 22.6373104
2400 2.19521395 1.93934565 3.04997202 2.88224492 120.60026 22.637927
2440 2.21057025 1.95566487 3.06374268 2.89679163 120.447095 22.6395374
2480 2.22899286 1.97502216 3.08094436 2.91417749 120.290966 22.6414027
2520 2.2379358 1.98451806 3.08892738 2.92277148 120.18076 22.642293
2560 2.24976458 1.99676587 3.10050333 2.93410745 120.096743 22.6436348
2600 2.25521074 2.00251765 3.10540558 2.93949044 120.010716 22.6441175
2640 2.28729661 2.03594747 3.1359245 2.97059093 119.852507 22.6476873
2680 2.2911553 2.03986534 3.13980562 2.97479322 119.704487 22.6478643
2720 2.3762566 2.12802498 3.22145266 3.05903245 119.304508 22.6567985
